data,produto,valor,quantidade
2024-10-04,Webcam HD,280.0,5.0
2024-04-23,Mouse Logitech,85.5,6.0
2024-03-11,Headset Gamer,320.0,7.0
2024-09-30,Teclado Mecânico,450.0,1.0
2024-07-14,Memória RAM 16GB,invalid,1.0
2024-07-28,Notebook Dell,3500.0,5.0
2024-01-10,Memória RAM 16GB,380.0,
2024-03-25,Headset Gamer,320.0,7.0
2024-07-24,Teclado Mecânico,450.0,9.0
2024-01-29,Memória RAM 16GB,,4.0
2024-10-14,Memória RAM 16GB,380.0,8.0
2024-01-05,Memória RAM 16GB,380.0,8.0
2024-09-10,"Monitor LG 27""",1200.0,7.0
2024-03-21,Memória RAM 16GB,,9.0
2024-05-16,Mouse Logitech,85.5,9.0
2024-02-20,Notebook Dell,3500.0,7.0
2024-05-04,Mouse Logitech,85.5,1.0
2024-09-20,Mousepad,45.0,7.0
2024-05-31,Notebook Dell,3500.0,9.0
2024-09-25,Memória RAM 16GB,380.0,10.0
2024-10-17,SSD 1TB,550.0,2.0
2024-09-06,Memória RAM 16GB,380.0,4.0
2024-08-03,Teclado Mecânico,450.0,10.0
2024-11-03,Memória RAM 16GB,380.0,10.0
2024-04-13,Notebook Dell,3500.0,7.0
2024-01-26,"Monitor LG 27""",1200.0,2.0
2024-07-01,"Monitor LG 27""",1200.0,10.0
2024-03-01,Notebook Dell,3500.0,7.0
2024-07-08,Headset Gamer,320.0,4.0
2024-04-12,"Monitor LG 27""",1200.0,10.0
2024-11-21,Teclado Mecânico,450.0,10.0
2024-07-31,Memória RAM 16GB,380.0,5.0
2024-06-22,Mousepad,45.0,6.0
2024-07-10,Mouse Logitech,85.5,7.0
2024-09-11,SSD 1TB,320.00,1.0
2024-10-13,Mouse Logitech,85.5,5.0
2024-06-23,"Monitor LG 27""",1200.0,1.0
2024-12-03,Webcam HD,280.0,1.0
2024-11-03,Teclado Mecânico,450.0,9.0
2024-05-07,"Monitor LG 27""",1200.0,1.0
2024-05-25,Memória RAM 16GB,380.0,3.0
2024-04-08,Mouse Logitech,85.5,3.0
2024-02-20,Mouse Logitech,85.5,5.0
2024-09-23,Notebook Dell,3500.0,4.0
2024-12-13,Notebook Dell,3500.0,3.0
2024-02-10,Mousepad,45.0,9.0
2024-10-05,Mouse Logitech,85.5,9.0
2024-01-25,Webcam HD,280.0,5.0
2024-08-31,Headset Gamer,320.0,7.0
2024-07-31,Memória RAM 16GB,380.0,3.0
2024-04-10,Mousepad,45.0,10.0
2024-06-19,Memória RAM 16GB,invalid,5.0
2024-08-19,"Monitor LG 27""",invalid,6.0
2024-09-04,Mousepad,45.0,5.0
2024-09-16,Notebook Dell,3500.0,6.0
2024-03-01,Mouse Logitech,85.5,8.0
2024-11-11,Webcam HD,280.0,7.0
2024-02-03,Webcam HD,280.0,9.0
data_incorreta,Webcam HD,280.0,10.0
2024-06-08,SSD 1TB,550.0,10.0
2024-10-24,SSD 1TB,550.0,4.0
2024-01-24,Mousepad,invalid,6.0
2024-03-14,Mouse Logitech,85.5,1.0
2024-12-31,Notebook Dell,3500.0,5.0
2024-05-14,Mouse Logitech,85.5,2.0
2024-10-02,"Monitor LG 27""",1200.0,9.0
2024-02-25,Mousepad,45.0,3.0
2024-05-05,Webcam HD,280.0,4.0
2024-09-01,Notebook Dell,3500.0,5.0
2024-08-12,Notebook Dell,3500.0,7.0
2024-12-29,Memória RAM 16GB,3500.0,6.0
2024-11-27,Mousepad,550.00,7.0
2024-04-06,Notebook Dell,3500.0,5.0
2024-02-22,Teclado Mecânico,,9.0
2024-09-05,SSD 1TB,550.0,7.0
2024-10-22,SSD 1TB,invalid,2.0
2024-03-16,Webcam HD,280.0,8.0
2024-03-11,Headset Gamer,320.0,6.0
2024-12-19,Notebook Dell,3500.0,1.0
2024-10-27,Teclado Mecânico,450.0,8.0
2024-07-21,"Monitor LG 27""",1200.0,6.0
2024-10-02,Notebook Dell,3500.0,
2024-04-07,Notebook Dell,3500.0,4.0
2024-01-10,Mouse Logitech,320.00,2.0
2024-04-20,Teclado Mecânico,450.0,1.0
2024-06-25,Mouse Logitech,85.5,6.0
2024-02-22,Headset Gamer,320.0,
2024-09-21,Mousepad,45.0,6.0
2024-05-28,!!!,320.0,3.0
2024-12-01,SSD 1TB,550.0,9.0
2024-10-31,Memória RAM 16GB,380.0,9.0
2024-11-09,Memória RAM 16GB,380.0,10.0
2024-05-13,Mouse Logitech,85.5,5.0
2024-12-16,Notebook Dell,3500.0,
2024-06-13,Memória RAM 16GB,380.0,3.0
2024-07-29,Teclado Mecânico,450.0,6.0
2024-04-16,Mouse Logitech,85.5,9.0
2024-02-14,Teclado Mecânico,450.0,10.0
2024-03-30,Headset Gamer,,3.0
2024-04-09,"Monitor LG 27""",1200.0,5.0
2024-01-21,Mousepad,,9.0
2024-01-16,Webcam HD,280.0,7.0
2024-11-28,Mousepad,45.0,6.0
2024-11-09,"Monitor LG 27""",1200.0,9.0
2024-08-02,Mousepad,45.0,9.0
2024-05-24,Notebook Dell,3500.0,1.0
2024-11-07,Webcam HD,280.0,9.0
2024-08-04,Memória RAM 16GB,380.0,7.0
2024-10-27,Notebook Dell,3500.0,3.0
2024-01-16,SSD 1TB,550.0,8.0
2024-07-04,Mousepad,45.0,9.0
2024-12-13,Mousepad,45.0,8.0
2024-05-06,SSD 1TB,550.0,5.0
2024-06-05,Mouse Logitech,85.5,4.0
2024-09-16,Webcam HD,280.0,2.0
2024-07-19,Mouse Logitech,85.5,2.0
2024-07-31,Teclado Mecânico,450.0,9.0
2024-09-18,SSD 1TB,550.0,4.0
2024-03-10,Notebook Dell,3500.0,5.0
2024-04-25,Teclado Mecânico,450.0,4.0
2024-07-05,Notebook Dell,3500.0,10.0
2024-05-28,Headset Gamer,320.0,10.0
2024-03-04,??Produto??,3500.0,2.0
2024-12-16,"Monitor LG 27""",1200.0,4.0
2024-08-01,Headset Gamer,320.0,2.0
2024-11-23,Mousepad,45.0,10.0
2024-01-26,Memória RAM 16GB,380.0,8.0
2024-01-04,Mousepad,45.0,2.0
2024-02-22,Notebook Dell,3500.0,3.0
2024-11-05,"Monitor LG 27""",1200.0,5.0
2024-10-16,SSD 1TB,550.0,6.0
2024-05-01,Notebook Dell,3500.0,6.0
2024-10-25,SSD 1TB,550.0,10.0
2024-08-10,Teclado Mecânico,450.0,9.0
2024-03-11,Memória RAM 16GB,380.0,2.0
2024-10-15,Webcam HD,280.0,3.0
2024-12-25,Webcam HD,280.0,8.0
2024-03-31,Notebook Dell,3500.0,9.0
2024-07-06,Mousepad,45.0,10.0
2024-06-06,Mouse Logitech,85.5,8.0
2024-02-22,Teclado Mecânico,,9.0
2024-03-22,"Monitor LG 27""",invalid,5.0
2024-03-13,Mouse Logitech,85.5,5.0
2024-10-07,Headset Gamer,320.0,5.0
2024-09-07,Headset Gamer,320.0,5.0
2024-08-10,SSD 1TB,550.0,10.0
2024-07-20,Teclado Mecânico,450.0,6.0
2024-04-17,SSD 1TB,550.0,8.0
2024-10-31,Mousepad,450.0,3.0
2024-10-19,SSD 1TB,380.00,10.0
2024-03-16,Mousepad,,4.0
data_incorreta,"Monitor LG 27""",1200.0,6.0
2024-06-22,Webcam HD,280.0,5.0
2024-03-11,!!!,320.0,4.0
2024-03-02,Headset Gamer,320.0,7.0
2024-08-28,Webcam HD,280.0,4.0
2024-10-29,Notebook Dell,3500.0,9.0
2024-02-27,Teclado Mecânico,450.0,4.0
2024-02-13,Notebook Dell,,5.0
2024-12-21,Mousepad,45.0,7.0
2024-11-20,Mouse Logitech,85.5,9.0
2024-09-25,SSD 1TB,550.0,9.0
2024-07-31,Mousepad,45.0,5.0
2024-11-11,Mousepad,45.0,3.0
2024-01-02,Teclado Mecânico,450.0,10.0
2024-04-20,"Monitor LG 27""",1200.0,10.0
2024-10-25,Notebook Dell,3500.0,
2024-03-02,Teclado Mecânico,450.0,2.0
2024-06-16,Memória RAM 16GB,380.0,3.0
2024-04-23,??Produto??,320.0,2.0
2024-01-07,Mouse Logitech,85.5,9.0
2024-05-06,Notebook Dell,3500.0,1.0
2024-01-26,"Monitor LG 27""",1200.0,4.0
2024-09-04,"Monitor LG 27""",1200.0,7.0
2024-02-13,Webcam HD,280.0,7.0
2024-01-03,"Monitor LG 27""",1200.0,10.0
2024-08-01,Memória RAM 16GB,invalid,2.0
2024-03-04,Memória RAM 16GB,380.0,6.0
2024-07-21,Mousepad,45.0,1.0
2024-09-24,Notebook Dell,3500.0,4.0
2024-06-29,SSD 1TB,3500.00,1.0
2024-07-29,Memória RAM 16GB,380.0,6.0
2024-02-03,Mouse Logitech,85.5,3.0
2024-06-10,Mousepad,45.0,8.0
2024-05-25,Mouse Logitech,85.5,6.0
2024-07-26,Mouse Logitech,85.5,1.0
2024-10-25,"Monitor LG 27""",1200.0,8.0
2024-01-01,Webcam HD,280.0,2.0
2024-02-05,Mousepad,45.0,6.0
2024-02-23,Memória RAM 16GB,380.0,2.0
2024-10-12,Headset Gamer,320.0,2.0
2024-10-06,Teclado Mecânico,450.0,7.0
2024-09-02,Teclado Mecânico,450.0,1.0
2024-12-14,Mousepad,45.0,7.0
2024-08-22,Mouse Logitech,85.5,8.0
2024-02-26,Headset Gamer,320.0,1.0
2024-10-20,Mousepad,45.0,6.0
2024-07-10,Mousepad,45.0,9.0
2024-01-01,Notebook Dell,3500.0,6.0
2024-06-02,Webcam HD,280.0,1.0
2024-09-11,Mousepad,45.0,
2024-07-07,SSD 1TB,550.0,4.0
2024-04-15,SSD 1TB,550.0,4.0
2024-05-29,Memória RAM 16GB,380.0,9.0
2024-07-14,Mouse Logitech,450.0,10.0
2024-02-03,Memória RAM 16GB,380.0,3.0
2024-12-09,Teclado Mecânico,450.0,5.0
2024-08-16,Memória RAM 16GB,380.0,8.0
2024-01-11,Headset Gamer,320.0,3.0
2024-06-02,Webcam HD,280.0,9.0
2024-06-09,Mousepad,45.0,6.0
2024-05-30,Headset Gamer,320.0,1.0
2024-05-17,Mousepad,45.0,8.0
2024-01-15,SSD 1TB,550.0,2.0
2024-01-19,Mouse Logitech,45.0,8.0
2024-01-30,SSD 1TB,550.0,10.0
2024-10-03,SSD 1TB,550.0,8.0
2024-02-06,"Monitor LG 27""",1200.0,4.0
2024-02-16,Teclado Mecânico,450.0,8.0
2024-10-28,"Monitor LG 27""",1200.0,6.0
2024-05-06,Mousepad,45.0,4.0
2024-06-08,"Monitor LG 27""",1200.0,3.0
2024-06-25,Mouse Logitech,85.5,6.0
2024-07-31,Mouse Logitech,85.5,4.0
2024-05-24,Teclado Mecânico,invalid,10.0
2024-09-23,Notebook Dell,3500.0,2.0
2024-12-31,SSD 1TB,invalid,3.0
2024-09-30,Teclado Mecânico,450.0,9.0
2024-01-22,Mouse Logitech,85.5,9.0
2024-06-11,Headset Gamer,320.0,2.0
2024-08-19,Notebook Dell,3500.0,6.0
2024-12-25,Webcam HD,280.0,5.0
2024-03-02,"Monitor LG 27""",1200.0,4.0
2024-04-22,Headset Gamer,,9.0
2024-03-13,Mousepad,,8.0
2024-09-19,SSD 1TB,550.0,2.0
2024-03-02,Teclado Mecânico,450.0,9.0
2024-10-10,SSD 1TB,550.0,4.0
2024-01-19,Teclado Mecânico,450.0,8.0
2024-08-18,Teclado Mecânico,450.0,6.0
2024-05-27,Mousepad,45.0,2.0
2024-01-22,Headset Gamer,invalid,4.0
2024-11-14,Headset Gamer,320.0,8.0
2024-05-26,Mousepad,invalid,9.0
2024-12-13,Mouse Logitech,85.5,6.0
2024-10-15,Mouse Logitech,,2.0
2024-11-27,Memória RAM 16GB,380.0,4.0
2024-06-13,Teclado Mecânico,450.0,5.0
2024-06-14,Mousepad,45.0,5.0
2024-01-27,Teclado Mecânico,450.0,
2024-01-20,Teclado Mecânico,450.0,2.0
2024-05-06,Teclado Mecânico,invalid,1.0
2024-03-29,SSD 1TB,550.0,1.0
2024-10-07,Webcam HD,280.0,3.0
2024-11-08,"Monitor LG 27""",1200.0,3.0
2024-08-20,Mousepad,45.0,3.0
2024-07-08,Mousepad,45.0,8.0
2024-01-28,Teclado Mecânico,450.0,10.0
2024-12-01,Teclado Mecânico,450.0,7.0
2024-02-05,Teclado Mecânico,450.0,
2024-11-24,Mouse Logitech,85.5,10.0
2024-07-19,###ERRO###,380.0,1.0
2024-04-02,Webcam HD,280.0,1.0
2024-11-07,"Monitor LG 27""",1200.0,5.0
2024-05-02,Headset Gamer,320.0,5.0
2024-08-13,Notebook Dell,3500.0,5.0
2024-03-26,SSD 1TB,550.0,8.0
2024-02-28,"Monitor LG 27""",1200.0,9.0
2024-12-02,Headset Gamer,,10.0
2024-05-15,"Monitor LG 27""",1200.0,4.0
2024-11-03,"Monitor LG 27""",invalid,7.0
2024-02-20,Mouse Logitech,85.5,1.0
2024-08-14,Headset Gamer,320.0,3.0
2024-11-05,Notebook Dell,3500.0,2.0
data_incorreta,Notebook Dell,3500.0,4.0
2024-04-22,Webcam HD,280.0,9.0
2024-08-22,Mouse Logitech,85.5,8.0
2024-07-25,Erro_Produto_§,380.0,7.0
2024-09-14,Headset Gamer,320.0,2.0
2024-09-04,Memória RAM 16GB,380.0,2.0
2024-08-10,SSD 1TB,550.0,10.0
2024-12-28,"Monitor LG 27""",1200.0,
2024-11-01,Teclado Mecânico,450.0,6.0
2024-12-11,Mouse Logitech,85.5,10.0
2024-03-06,Teclado Mecânico,450.0,
2024-04-05,Teclado Mecânico,450.0,2.0
2024-01-23,Memória RAM 16GB,380.0,2.0
2024-11-24,Teclado Mecânico,450.0,6.0
2024-02-03,SSD 1TB,550.0,7.0
2024-05-28,Notebook Dell,3500.0,5.0
2024-06-09,Teclado Mecânico,450.0,1.0
2024-03-13,Mouse Logitech,85.5,8.0
2024-11-19,Headset Gamer,320.0,7.0
2024-08-25,SSD 1TB,550.0,5.0
2024-10-30,Teclado Mecânico,450.0,4.0
2024-05-18,Webcam HD,280.0,7.0
2024-05-15,Webcam HD,280.0,9.0
2024-05-08,Webcam HD,280.0,2.0
2024-04-21,Mousepad,45.0,10.0
2024-03-15,!!!,550.0,9.0
2024-02-18,Mousepad,45.0,2.0
2024-02-16,Memória RAM 16GB,380.0,1.0
2024-07-29,Headset Gamer,invalid,1.0
2024-10-10,"Monitor LG 27""",1200.0,6.0
2024-12-24,"Monitor LG 27""",1200.0,5.0
2024-01-19,Memória RAM 16GB,380.0,5.0
2024-01-09,Mouse Logitech,85.5,9.0
2024-11-15,Webcam HD,280.0,9.0
2024-06-22,Webcam HD,280.0,10.0
2024-06-24,Mouse Logitech,85.5,2.0
2024-02-26,Headset Gamer,320.0,7.0
2024-11-05,"Monitor LG 27""",1200.0,6.0
2024-01-24,Headset Gamer,320.0,6.0
2024-05-13,Memória RAM 16GB,380.0,6.0
2024-12-14,Mousepad,45.0,3.0
2024-09-25,SSD 1TB,550.0,3.0
2024-08-02,Webcam HD,280.0,7.0
2024-03-15,Mousepad,45.0,4.0
2024-04-18,Mousepad,45.0,10.0
2024-11-20,SSD 1TB,550.0,3.0
2024-02-13,Memória RAM 16GB,380.0,3.0
2024-11-19,Mouse Logitech,85.5,4.0
2024-06-20,SSD 1TB,550.0,9.0
2024-12-03,SSD 1TB,550.0,9.0
2024-05-10,Webcam HD,280.0,8.0
2024-10-14,"Monitor LG 27""",1200.0,2.0
2024-01-17,Teclado Mecânico,450.0,3.0
2024-06-23,Notebook Dell,3500.0,9.0
data_incorreta,Teclado Mecânico,450.0,4.0
2024-01-18,SSD 1TB,550.0,4.0
2024-02-14,Headset Gamer,320.0,1.0
2024-03-06,"Monitor LG 27""",1200.0,10.0
2024-08-16,PROD$%#@,85.5,9.0
data_incorreta,Notebook Dell,3500.0,6.0
2024-08-07,Headset Gamer,320.0,6.0
2024-10-20,Webcam HD,280.0,5.0
2024-04-05,Notebook Dell,3500.0,9.0
2024-10-05,Headset Gamer,320.0,9.0
2024-01-23,Headset Gamer,320.0,2.0
2024-04-25,Memória RAM 16GB,380.0,5.0
2024-01-03,Memória RAM 16GB,380.0,1.0
2024-06-03,Mousepad,45.0,4.0
2024-12-09,Mouse Logitech,85.5,5.0
2024-07-21,Headset Gamer,320.0,6.0
2024-01-24,Webcam HD,280.0,1.0
2024-07-21,SSD 1TB,550.0,
